population	het	psi.sum	rep	model
3	0.1314635	-0.05879037405	9	equal_sym
4	0.1336668	0.1067332714	9	equal_sym
5	0.1347059	0.1902803977	9	equal_sym
6	0.1332692	0.1155174585	9	equal_sym
7	0.128446	-0.05205343069	9	equal_sym
8	0.1243985	-0.1283131583	9	equal_sym
9	0.1309755	-0.039205817	9	equal_sym
10	0.1279798	-0.1416482416	9	equal_sym
1	0.1288855	-0.1249323211	10	equal_sym
2	0.1323497	0.01989692472	10	equal_sym
3	0.1370457	0.2171065702	10	equal_sym
4	0.1257138	-0.1595691349	10	equal_sym
5	0.134572	0.08720752615	10	equal_sym
6	0.1322313	0.03993353535	10	equal_sym
7	0.1311255	-0.02304197517	10	equal_sym
8	0.133659	0.03882926237	10	equal_sym
9	0.137781	1.44E-01	10	equal_sym
10	0.1269609	-0.2396828881	10	equal_sym
